City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,sayyan,15.1718,44.3244,19.72,47,69,1.55,YE,1682258483
1,meulaboh,4.1363,96.1285,26.79,86,76,2.4,ID,1682258484
2,souillac,-20.5167,57.5167,27.21,78,75,3.6,MU,1682258486
3,ekhabi,53.5102,142.9671,-3.28,91,20,6.23,RU,1682258487
4,rikitea,-23.1203,-134.9692,26.23,87,100,6.21,PF,1682258488
5,punta arenas,-53.15,-70.9167,5.06,81,0,0.0,CL,1682258399
6,neiafu,-18.65,-173.9833,21.38,94,20,0.0,TO,1682258491
7,santa cruz,-17.8,-63.1667,22.65,60,98,3.16,BO,1682258410
8,pasighat,28.0667,95.3333,20.98,81,100,2.92,IN,1682258493
9,nantucket,41.2835,-70.0995,11.06,86,75,9.77,US,1682258211
10,arraial do cabo,-22.9661,-42.0278,25.92,61,20,5.14,BR,1682258476
11,constitucion,-35.3333,-72.4167,14.22,71,0,2.16,CL,1682258443
12,ilulissat,69.2167,-51.1,2.01,93,100,0.0,GL,1682258446
13,te anau,-45.4167,167.7167,5.88,93,98,0.74,NZ,1682258499
14,saint-ambroise,48.5501,-71.3324,12.3,57,100,5.14,CA,1682258501
15,kenai,60.5544,-151.2583,0.08,51,20,3.6,US,1682258502
16,sijunjung,-0.6876,100.9537,23.55,98,100,0.66,ID,1682258504
17,bluff,-46.6,168.3333,9.58,64,61,12.34,NZ,1682258505
18,hermanus,-34.4187,19.2345,22.11,85,99,4.41,ZA,1682258497
19,castro,-24.7911,-50.0119,18.18,63,42,3.4,BR,1682258508
20,along,28.1667,94.7667,18.03,95,100,0.76,IN,1682258509
21,saldanha,-33.0117,17.9442,16.03,93,100,5.97,ZA,1682258510
22,jamestown,42.097,-79.2353,5.57,81,100,5.14,US,1682258446
23,upata,8.0086,-62.3989,24.0,94,100,2.02,VE,1682258513
24,mar del plata,-38.0023,-57.5575,17.75,86,100,2.06,AR,1682258259
25,eyl,7.9803,49.8164,29.57,63,85,7.28,SO,1682258515
26,tandalti,13.0167,31.8667,41.04,10,100,4.81,SD,1682258517
27,norman wells,65.282,-126.8329,-9.98,85,100,2.57,CA,1682258518
28,albany,42.6001,-73.9662,10.68,93,100,4.05,US,1682258413
29,sorland,67.667,12.6934,0.92,48,97,4.07,NO,1682258520
30,khatanga,71.9667,102.5,-13.34,96,21,2.33,RU,1682258522
